Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,4902955,0,0.00,0,0.00,5.69,4889534,13421
VXX,1233843,0,0.00,0,0.00,12.60,1217024,16819
VIXY,1222302,0,0.00,0,0.00,10.16,1214910,7392
USHY,941032,0,0.00,0,0.00,34.50,940883,149
UVIX,923001,0,0.00,0,0.00,22.14,916883,6118
ITB,754969,0,0.00,0,0.00,66.30,722064,32905
IEFA,592065,0,0.00,0,0.00,65.80,586740,5325
SVXY,566707,0,0.00,0,0.00,61.76,563640,3067
SVIX,501159,0,0.00,0,0.00,16.00,500370,789
IGV,420715,0,0.00,0,0.00,278.99,420514,201
ARKG,348763,0,0.00,0,0.00,30.39,344955,3808
USMV,331155,0,0.00,0,0.00,71.91,325709,5446
EZU,299801,0,0.00,0,0.00,43.90,299110,691
ICSH,297949,0,0.00,0,0.00,50.17,167410,130539
GOVT,250839,0,0.00,0,0.00,22.71,247588,3251
NEAR,240885,0,0.00,0,0.00,49.58,235244,5641
INDA,224951,0,0.00,0,0.00,39.90,222522,2429
CBOE,216223,0,0.00,0,0.00,128.46,215610,613
BBEU,206998,0,0.00,0,0.00,52.80,206097,901
VNM,173953,0,0.00,0,0.00,12.08,173053,900
COWZ,150716,0,0.00,0,0.00,47.85,149811,905
FLOT,147358,0,0.00,0,0.00,50.66,144942,2416
VUSB,126432,0,0.00,0,0.00,49.05,126182,250
NOBL,112055,0,0.00,0,0.00,91.01,107802,4253
QUAL,108281,0,0.00,0,0.00,119.22,105471,2810
ECH,92800,0,0.00,0,0.00,28.25,88022,4778
ITA,92276,0,0.00,0,0.00,115.68,88379,3897
EFV,91930,0,0.00,0,0.00,49.05,87767,4163
HYD,91386,0,0.00,0,0.00,50.95,90756,630
REM,83439,0,0.00,0,0.00,24.35,83336,103
NULV,79605,0,0.00,0,0.00,34.54,78304,1301
MOAT,75615,0,0.00,0,0.00,70.91,75583,32
IDV,71217,0,0.00,0,0.00,28.39,71134,83
MTUM,68593,0,0.00,0,0.00,140.80,67798,795
PAVE,67135,0,0.00,0,0.00,28.63,65737,1398
GFEB,66166,0,0.00,0,0.00,29.04,65215,951
BBJP,63804,0,0.00,0,0.00,46.45,62002,1802
EEMV,58289,0,0.00,0,0.00,53.68,54747,3542
IYZ,54597,0,0.00,0,0.00,23.44,54557,40
GOVZ,47708,0,0.00,0,0.00,12.68,47708,0
HEFA,44366,0,0.00,0,0.00,29.24,44266,100
IEO,43556,0,0.00,0,0.00,87.18,43556,0
IAGG,41000,0,0.00,0,0.00,47.96,40409,591
GCOW,35909,0,0.00,0,0.00,33.43,35909,0
EFG,31366,0,0.00,0,0.00,89.61,30574,792
BALT,31093,0,0.00,0,0.00,26.93,26393,4700
VXZ,30709,0,0.00,0,0.00,22.87,12309,18400
CALF,30678,0,0.00,0,0.00,38.93,30478,200
PICK,27820,0,0.00,0,0.00,44.21,27586,234
IFRA,27297,0,0.00,0,0.00,38.01,27205,92
ITM,26980,0,0.00,0,0.00,45.37,26980,0
DFIC,24716,0,0.00,0,0.00,23.90,22864,1852
DISV,24357,0,0.00,0,0.00,23.93,15957,8400
FGRO,24187,0,0.00,0,0.00,13.94,24187,0
FFEB,24070,0,0.00,0,0.00,36.55,24070,0
RDVI,24055,0,0.00,0,0.00,22.38,20955,3100
BBAX,23867,0,0.00,0,0.00,50.56,23007,860
VLUE,21441,0,0.00,0,0.00,95.02,19322,2119
DIHP,20153,0,0.00,0,0.00,23.60,19740,413
EFAV,19356,0,0.00,0,0.00,65.77,19152,204
FLIA,18281,0,0.00,0,0.00,19.41,17781,500
ACWV,18185,0,0.00,0,0.00,95.07,17388,797
ARKQ,17501,0,0.00,0,0.00,48.66,17501,0
DIVB,17288,0,0.00,0,0.00,38.15,17235,53
ICF,17225,0,0.00,0,0.00,57.69,17224,1
USEP,17007,0,0.00,0,0.00,27.02,12696,4311
IYT,16933,0,0.00,0,0.00,227.85,16291,642
ICVT,16583,0,0.00,0,0.00,73.00,16483,100
OMFL,16474,0,0.00,0,0.00,46.08,16399,75
IBHE,16194,0,0.00,0,0.00,22.66,16194,0
SMOT,15870,0,0.00,0,0.00,29.37,15870,0
ESML,15802,0,0.00,0,0.00,35.66,15802,0
BBCA,15566,0,0.00,0,0.00,60.06,14894,672
ESGV,15538,0,0.00,0,0.00,69.92,15538,0
FRDM,15451,0,0.00,0,0.00,29.06,15451,0
JMST,15015,0,0.00,0,0.00,50.54,13415,1600
HEGD,14752,0,0.00,0,0.00,17.42,14752,0
AAAU,14726,0,0.00,0,0.00,18.20,14721,5
VSGX,14294,0,0.00,0,0.00,51.83,14078,216
FLHY,14180,0,0.00,0,0.00,22.19,14135,45
SLVP,13773,0,0.00,0,0.00,9.88,13773,0
PMAR,13237,0,0.00,0,0.00,31.41,13237,0
VIXM,13223,0,0.00,0,0.00,26.82,13223,0
XMPT,13205,0,0.00,0,0.00,21.33,11766,1439
LQDW,12562,0,0.00,0,0.00,33.85,12562,0
OILK,12155,0,0.00,0,0.00,42.70,12155,0
TLTW,11851,0,0.00,0,0.00,32.78,11848,3
ACIO,11703,0,0.00,0,0.00,29.54,9403,2300
PJAN,11643,0,0.00,0,0.00,32.59,11643,0
FMIL,11442,0,0.00,0,0.00,30.36,11442,0
IQDG,11409,0,0.00,0,0.00,32.56,10409,1000
CNYA,10914,0,0.00,0,0.00,33.34,10614,300
NULG,10896,0,0.00,0,0.00,52.79,10896,0
WTAI,10712,0,0.00,0,0.00,16.65,10312,400
KRUZ,10550,0,0.00,0,0.00,24.48,9370,1180
IGE,10402,0,0.00,0,0.00,39.57,10401,1
FBCG,10294,0,0.00,0,0.00,23.53,10294,0
OSCV,10265,0,0.00,0,0.00,32.46,10265,0
BUYW,9917,0,0.00,0,0.00,13.17,9917,0
ARKX,9914,0,0.00,0,0.00,13.92,9719,195
